epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,6841.27,1.8134,1.23486,1.0222,0.5193,0.395,0.38617,0.16678,1.86107,1.34079,1.04503,0.0013466,0.0013466,0.0013466
68,6906.53,1.80256,1.23078,1.01921,0.50489,0.39357,0.38542,0.16791,1.85201,1.32246,1.04689,0.0013367,0.0013367,0.0013367
69,6993.94,1.82237,1.24746,1.03024,0.50771,0.38842,0.38078,0.16299,1.86208,1.33827,1.04312,0.0013268,0.0013268,0.0013268
70,7051.66,1.81557,1.23589,1.01645,0.50898,0.38887,0.38258,0.16939,1.83213,1.3201,1.03654,0.0013169,0.0013169,0.0013169
71,7107.87,1.82299,1.24219,1.02159,0.5051,0.39944,0.38981,0.17175,1.84131,1.3241,1.03716,0.001307,0.001307,0.001307
72,7181.76,1.80917,1.23099,1.01628,0.50744,0.38723,0.38133,0.16319,1.86678,1.32506,1.04293,0.0012971,0.0012971,0.0012971
73,7286.61,1.81513,1.24711,1.02154,0.51362,0.38857,0.38711,0.16884,1.84816,1.32564,1.03575,0.0012872,0.0012872,0.0012872
74,7377.21,1.80712,1.22535,1.01416,0.51308,0.38879,0.3867,0.16855,1.85673,1.33364,1.04441,0.0012773,0.0012773,0.0012773
75,7444.21,1.80962,1.22236,1.019,0.51714,0.39483,0.39413,0.17166,1.83469,1.31541,1.03682,0.0012674,0.0012674,0.0012674
76,7621.47,1.79201,1.20929,1.01356,0.51662,0.38827,0.39019,0.17398,1.83161,1.29819,1.03643,0.0012575,0.0012575,0.0012575
77,7681.26,1.79138,1.21266,1.01611,0.5085,0.39501,0.38753,0.16754,1.85922,1.31489,1.03723,0.0012476,0.0012476,0.0012476
78,7736.06,1.79943,1.21044,1.01397,0.52132,0.39244,0.3943,0.17248,1.84245,1.29972,1.03601,0.0012377,0.0012377,0.0012377
